,Range,,,Low Engagement,,,Moderate Engagement,,High Engegement,,,,
Chapter,Min Registrations,Max Registrations,Range,0 to 4,5 to 9,10 to 14,15-19,20-24,25-29,30-34,35-39,40-45,Total
Asia,0,15,15,23,5,0,1,0,0,0,0,0,59
NSW-ACT,0,42,42,511,114,48,21,9,4,5,1,2,799
null,0,14,14,201,2,1,0,0,0,0,0,0,232
NZ,0,35,35,185,49,15,8,5,0,0,1,0,333
QLD,0,45,45,456,79,28,13,8,2,0,0,2,678
SA-NT,0,38,38,197,53,24,10,8,3,5,1,0,377
VIC-TAS,0,32,32,546,123,38,16,3,1,1,0,0,792
WA,0,35,35,262,36,27,14,4,1,2,1,0,417
,,,,3023,,,120,,32,,,,
,,,,,,,,,,,,,
,,,6,,,45,,,,,,,
,,,,,,,,,,,,,
,,,,15,,30,,,,,,,
,,,,50%,,,,,,,,,
